
2024/10/21 (16:54:57) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/21 (16:58:07) | ===> btop++ v.1.4.0
2024/10/21 (16:58:07) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/21 (18:07:43) | ===> btop++ v.1.4.0
2024/10/21 (18:07:43) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/23 (23:16:13) | ===> btop++ v.1.4.0
2024/10/23 (23:16:13) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/25 (20:15:17) | ===> btop++ v.1.4.0
2024/10/25 (20:15:17) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/26 (15:37:48) | ===> btop++ v.1.4.0
2024/10/26 (15:37:48) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/28 (15:14:21) | ===> btop++ v.1.4.0
2024/10/28 (15:14:21) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/28 (17:31:49) | ===> btop++ v.1.4.0
2024/10/28 (17:31:49) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/29 (13:32:35) | ===> btop++ v.1.4.0
2024/10/29 (13:32:35) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/29 (23:48:49) | ===> btop++ v.1.4.0
2024/10/29 (23:48:49) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/01 (15:21:19) | ===> btop++ v.1.4.0
2024/11/01 (15:21:19) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/02 (01:19:03) | ===> btop++ v.1.4.0
2024/11/02 (01:19:03) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/02 (15:45:21) | ===> btop++ v.1.4.0
2024/11/02 (15:45:21) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/04 (10:08:43) | ===> btop++ v.1.4.0
2024/11/04 (10:08:43) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/04 (14:51:02) | ===> btop++ v.1.4.0
2024/11/04 (14:51:02) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/04 (18:13:15) | ===> btop++ v.1.4.0
2024/11/04 (18:13:15) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/05 (14:25:28) | ===> btop++ v.1.4.0
2024/11/05 (14:25:28) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/07 (14:20:37) | ===> btop++ v.1.4.0
2024/11/07 (14:20:37) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/07 (14:58:34) | ===> btop++ v.1.4.0
2024/11/07 (14:58:34) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/10 (19:15:43) | ===> btop++ v.1.4.0
2024/11/10 (19:15:43) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/11 (14:25:05) | ===> btop++ v.1.4.0
2024/11/11 (14:25:05) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/11 (17:27:45) | ===> btop++ v.1.4.0
2024/11/11 (17:27:45) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/12 (14:52:58) | ===> btop++ v.1.4.0
2024/11/12 (14:52:58) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/13 (13:18:54) | ===> btop++ v.1.4.0
2024/11/13 (13:18:54) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/14 (12:47:01) | ===> btop++ v.1.4.0
2024/11/14 (12:47:01) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/16 (09:04:51) | ===> btop++ v.1.4.0
2024/11/16 (09:04:51) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/17 (23:07:09) | ===> btop++ v.1.4.0
2024/11/17 (23:07:09) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/18 (13:52:08) | ===> btop++ v.1.4.0
2024/11/18 (13:52:08) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/19 (13:38:44) | ===> btop++ v.1.4.0
2024/11/19 (13:38:44) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/19 (21:47:54) | ===> btop++ v.1.4.0
2024/11/19 (21:47:54) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/20 (14:29:01) | ===> btop++ v.1.4.0
2024/11/20 (14:29:01) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/20 (16:14:54) | ===> btop++ v.1.4.0
2024/11/20 (16:14:54) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/21 (21:37:06) | ===> btop++ v.1.4.0
2024/11/21 (21:37:06) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/22 (22:04:20) | ===> btop++ v.1.4.0
2024/11/22 (22:04:20) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/23 (12:38:17) | ===> btop++ v.1.4.0
2024/11/23 (12:38:17) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/23 (13:28:56) | ===> btop++ v.1.4.0
2024/11/23 (13:28:56) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/25 (17:00:10) | ===> btop++ v.1.4.0
2024/11/25 (17:00:10) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/28 (17:12:21) | ===> btop++ v.1.4.0
2024/11/28 (17:12:21) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/29 (00:58:42) | ===> btop++ v.1.4.0
2024/11/29 (00:58:42) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/29 (13:44:59) | ===> btop++ v.1.4.0
2024/11/29 (13:44:59) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/30 (01:58:17) | ===> btop++ v.1.4.0
2024/11/30 (01:58:17) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/30 (02:19:32) | ===> btop++ v.1.4.0
2024/11/30 (02:19:32) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/30 (02:36:42) | ===> btop++ v.1.4.0
2024/11/30 (02:36:42) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/30 (02:37:16) | ===> btop++ v.1.4.0
2024/11/30 (02:37:16) | WARNING: Intel GPU: Failed to initialize PMU

